date,pick_id,type,matchup,pick,player,market,line,confidence,reasoning,model_version
2026-05-12,2026-05-12-nrfi-01,NRFI,DET @ NYM,NRFI,,FIRST_INNING_RUNS,,66,"Citi Field, cool weather, Freddy Peralta profile vs young DET order, and muted NYM top before Soto.",ace_logic_v1
2026-05-12,2026-05-12-nrfi-02,NRFI,ARI @ TEX,NRFI,,FIRST_INNING_RUNS,,65,Roof removes weather variance; Gore has favorable top-three matchup and ARI damage risk is concentrated in Carroll.,ace_logic_v1
2026-05-12,2026-05-12-nrfi-03,NRFI,SEA @ HOU,NRFI,,FIRST_INNING_RUNS,,62,Closed roof and Bryan Woo command profile; downgrade for Yordan Alvarez HR risk.,ace_logic_v1
2026-05-12,2026-05-12-nrfi-04,NRFI,COL @ PIT,NRFI,,FIRST_INNING_RUNS,,61,Paul Skenes anchors the play at HR-suppressing PNC; Lorenzen vs PIT lefties is the main risk.,ace_logic_v1
2026-05-12,2026-05-12-nrfi-05,NRFI,SF @ LAD,NRFI,,FIRST_INNING_RUNS,,58,Yamamoto vs contact-heavy SF top is favorable; Houser must survive Ohtani/Freeman/Betts.,ace_logic_v1
2026-05-12,2026-05-12-nrfi-06,NRFI,LAA @ CLE,NRFI,,FIRST_INNING_RUNS,,56,Light weather boost and uneven Angels top; Urena walk risk plus Kwan/Ramirez profile keeps confidence modest.,ace_logic_v1
2026-05-12,2026-05-12-nrfi-07,NRFI,MIA @ MIN,NRFI,,FIRST_INNING_RUNS,,55,"Good pitchers, but Miami top-three contact and Target Field 30 mph wind make it fragile.",ace_logic_v1
2026-05-12,2026-05-12-nrfi-08,NRFI,SD @ MIL,NRFI,,FIRST_INNING_RUNS,,54,Roof and cold SD top help; Brewers Turang/Chourio/Yelich form and SD starter uncertainty downgrade.,ace_logic_v1
2026-05-12,2026-05-12-nrfi-09,NRFI,PHI @ BOS,NRFI,,FIRST_INNING_RUNS,,52,"Wheeler can control Boston, but Moran vs Turner/Schwarber/Harper at Fenway is a YRFI threat.",ace_logic_v1
2026-05-12,2026-05-12-nrfi-10,NRFI,WAS @ CIN,NRFI,,FIRST_INNING_RUNS,,51,"Top orders are not dominant outside James Wood and Elly De La Cruz, but Great American Ball Park caps confidence.",ace_logic_v1
2026-05-12,2026-05-12-prop-01,PROP,ARI @ TEX,OVER,MacKenzie Gore,K,4.5,63,Low K line gives cushion; breaking-ball whiff profile projects well enough vs ARI.,ace_logic_v1
2026-05-12,2026-05-12-prop-02,PROP,DET @ NYM,OVER,Freddy Peralta,K,5.5,63,Best at 5.5; four-seam/slider whiffs plus DET lower-half strikeout paths.,ace_logic_v1
2026-05-12,2026-05-12-prop-03,PROP,SEA @ HOU,OVER,Tatsuya Imai,K,4.5,61,Splitter/slider shape should play vs Seattle swing-and-miss bats; roof removes weather noise.,ace_logic_v1
2026-05-12,2026-05-12-prop-04,PROP,COL @ PIT,OVER,Paul Skenes,K,7.5,58,"Rockies offer K upside against premium velocity/breaking stuff, but line is high.",ace_logic_v1
2026-05-12,2026-05-12-prop-05,PROP,SF @ LAD,UNDER,Yoshinobu Yamamoto,K,6.5,58,"Elite stuff, but Giants top with Lee/Arraez is contact-oriented; prefer under 6.5, not under 5.5.",ace_logic_v1
