date,pick_id,type,matchup,player,market,actual,notes
2026-06-08,2026-06-08-fi-01,NRFI,SEA @ BAL,,FIRST_INNING_RUNS,0,No first-inning runs; SEA @ BAL YRFI lost.
2026-06-08,2026-06-08-fi-02,NRFI,NYY @ CLE,,FIRST_INNING_RUNS,2,New York Yankees scored 2 in the first; NYY @ CLE NRFI lost.
2026-06-08,2026-06-08-fi-03,NRFI,BOS @ TB,,FIRST_INNING_RUNS,1,Tampa Bay scored 1 in the first; BOS @ TB NRFI lost.
2026-06-08,2026-06-08-fi-04,NRFI,PHI @ TOR,,FIRST_INNING_RUNS,0,No first-inning runs; PHI @ TOR YRFI lost.
2026-06-08,2026-06-08-fi-05,NRFI,HOU @ LAA,,FIRST_INNING_RUNS,0,No first-inning runs; HOU @ LAA YRFI lost.
2026-06-08,2026-06-08-fi-06,NRFI,CIN @ SD,,FIRST_INNING_RUNS,0,No first-inning runs; CIN @ SD NRFI hit.
2026-06-08,2026-06-08-fi-07,NRFI,WSH @ SF,,FIRST_INNING_RUNS,0,No first-inning runs; WSH @ SF NRFI hit.
2026-06-08,2026-06-08-fi-08,NRFI,MIL @ ATH,,FIRST_INNING_RUNS,2,Both teams scored in the first; MIL @ ATH YRFI hit.
2026-06-08,2026-06-08-pitcher-01,PROP,NYY @ CLE,Gavin Williams,K,5,"Gavin Williams recorded 5 strikeouts vs NYY, falling short of O 6.5 K."
2026-06-08,2026-06-08-pitcher-02,PROP,HOU @ LAA,Grayson Rodriguez,K,6,"Grayson Rodriguez recorded 6 strikeouts vs HOU, clearing O 5.5 K."
2026-06-08,2026-06-08-pitcher-03,PROP,WSH @ SF,Logan Webb,K,7,"Logan Webb recorded 7 strikeouts vs WSH, going over 5.5 K and losing the under."
2026-06-08,2026-06-08-pitcher-04,PROP,SEA @ BAL,Emerson Hancock,K,3,"Emerson Hancock recorded 3 strikeouts vs BAL, falling short of O 4.5 K."
2026-06-08,2026-06-08-hitter-01,PROP,HOU @ LAA,Yordan Alvarez,TB,0,"Yordan Alvarez recorded 0 total bases, falling short of O 1.5 TB."
2026-06-08,2026-06-08-hitter-02,PROP,MIL @ ATH,Jackson Chourio,TB,3,"Jackson Chourio recorded 3 total bases, clearing O 1.5 TB."
2026-06-08,2026-06-08-hitter-03,PROP,MIL @ ATH,Nick Kurtz,TB,9,"Nick Kurtz recorded 9 total bases with two home runs, clearing O 1.5 TB."
2026-06-08,2026-06-08-hitter-04,PROP,BOS @ TB,Junior Caminero,TB,1,"Junior Caminero recorded 1 total base, falling short of O 1.5 TB."
2026-06-08,2026-06-08-hitter-05,PROP,PHI @ TOR,Vladimir Guerrero Jr.,TB,0,"Vladimir Guerrero Jr. recorded 0 total bases, falling short of O 1.5 TB."
