date,pick_id,type,matchup,pick,player,market,line,confidence,reasoning,model_version,actual,result,grade_notes,result_notes
2026-05-15,2026-05-15-nrfi-01,NRFI,SD @ SEA,NRFI,,FIRST_INNING_RUNS,,62,"Best NRFI setup on the slate: dome environment, 7.0 total, and both starters have viable run-prevention profiles. Top orders have names, but the environment and total pass the v4 two-sided screen.",ace_logic_v4,,PENDING,Missing actual result,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-15,2026-05-15-nrfi-02,NRFI,NYY @ NYM,NRFI,,FIRST_INNING_RUNS,,59,"Citi Field, 7.0 total, and two strong run-prevention profiles make this playable. Capped because Yankees top three includes Rice/Judge and Mets still have Soto.",ace_logic_v4,,PENDING,Missing actual result,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-15,2026-05-15-nrfi-03,NRFI,PHI @ PIT,NRFI,,FIRST_INNING_RUNS,,56,"PNC Park and modest weather help. Nola/Ashcraft are viable enough, but Phillies top-order power and Pirates lefty bats keep this below premium.",ace_logic_v4,,PENDING,Missing actual result,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-15,2026-05-15-nrfi-04,NRFI,MIA @ TB,NRFI,,FIRST_INNING_RUNS,,55,Dome removes weather volatility and the matchup avoids the worst park/weather risks. Contact-heavy Miami top caps confidence.,ace_logic_v4,,PENDING,Missing actual result,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-15,2026-05-15-prop-01,PROP,LAD @ LAA,OVER,Blake Snell,K,6.5,64,Elite whiff arm with a normal workload path. Angels have right-handed power but also swing-and-miss pockets; this fits the v4 premium-over rule.,ace_logic_v4,,PENDING,Missing actual result,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-15,2026-05-15-prop-02,PROP,BOS @ ATL,OVER,Spencer Strider,K,6.5,63,Elite whiff profile and workload ceiling against a Boston lineup with enough K paths beyond the top contact bats.,ace_logic_v4,,PENDING,Missing actual result,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-15,2026-05-15-prop-03,PROP,CHC @ CWS,OVER,Edward Cabrera,K,5.5,60,Cabrera brings real swing-and-miss and faces a White Sox order with K pockets. Kept at 60 because his command/workload volatility prevents a top-tier grade.,ace_logic_v4,,PENDING,Missing actual result,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-15,2026-05-15-prop-04,PROP,BAL @ WSH,OVER,Shane Baz,K,4.5,60,Best used at the 4.5 market number. Baz has the stuff edge and Washington offers enough strikeout paths; avoid chasing the 5.5 if price/line moves.,ace_logic_v4,,PENDING,Missing actual result,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-15,2026-05-15-prop-05,PROP,NYY @ NYM,OVER,Clay Holmes,K,4.5,58,Low line plus starter workload makes four-to-five innings enough. Capped because Yankees top-order power can create traffic and shorten the outing.,ace_logic_v4,,PENDING,Missing actual result,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-15,2026-05-15-hitter-01,PROP,SF @ ATH,OVER,Nick Kurtz,TB,1.5,62,"Hitter-prop module targets environments we passed for NRFI: Sutter Health Park, 91°F, 10.0 total, and leadoff role. FTA projected 2.6 TB with 71% cover at O 1.5.",ace_logic_v4_hitter_v1,,PENDING,Missing actual result,Fill after games are final. TB actual = total bases; HR actual = home runs.
2026-05-15,2026-05-15-hitter-02,PROP,ARI @ COL,OVER,Mickey Moniak,TB,1.5,61,Coors/high-total environment is bad for NRFI but strong for total bases. Moniak bats near the top vs Merrill Kelly and FTA projected 2.8 TB with 72% cover.,ace_logic_v4_hitter_v1,,PENDING,Missing actual result,Fill after games are final. TB actual = total bases; HR actual = home runs.
2026-05-15,2026-05-15-hitter-03,PROP,ARI @ COL,OVER,Ketel Marte,TB,1.5,60,Leadoff at Coors vs Kyle Freeland gives maximum PA and park support. FTA projected 2.7 TB with 71% cover; line is juiced so confidence stays below the top two.,ace_logic_v4_hitter_v1,,PENDING,Missing actual result,Fill after games are final. TB actual = total bases; HR actual = home runs.
2026-05-15,2026-05-15-hitter-04,PROP,PHI @ PIT,OVER,Bryce Harper,TB,1.5,57,"Harper power/contact profile vs Braxton Ashcraft creates 2+ TB upside, and FTA showed plus-money value. PNC suppresses HRs, so this is a value lean rather than a premium play.",ace_logic_v4_hitter_v1,,PENDING,Missing actual result,Fill after games are final. TB actual = total bases; HR actual = home runs.
2026-05-15,2026-05-15-hitter-05,PROP,MIA @ TB,OVER,Liam Hicks,HR,0.5,52,"Small-stake longshot only: FTA projected 17.2% HR probability vs roughly 10% implied at +825. Low hit-rate market, included for value rather than probability.",ace_logic_v4_hitter_v1,,PENDING,Missing actual result,Fill after games are final. TB actual = total bases; HR actual = home runs.
