date,pick_id,type,matchup,pick,player,market,line,confidence,reasoning,model_version,actual,result,grade_notes,result_notes
2026-05-13,2026-05-13-nrfi-01,NRFI,SD @ MIL,NRFI,,FIRST_INNING_RUNS,,62,"Michael King vs Jacob Misiorowski is the cleanest two-sided run-prevention setup on the slate. Dome removes weather volatility, total sits at 7.0, and both starters have enough swing-and-miss to offset top-three traffic.",ace_logic_v2,0,WIN,NRFI hit: no first-inning runs,No first-inning runs; SD @ MIL NRFI hit.
2026-05-13,2026-05-13-nrfi-02,NRFI,LAA @ CLE,NRFI,,FIRST_INNING_RUNS,,60,Cold 54-62°F range with crosswind and a 7.0 game total. Parker Messick has the stronger half; Reid Detmers is not pristine but Cleveland top three is manageable enough after the v2 two-sided check.,ace_logic_v2,2,LOSS,NRFI lost: 2 first-inning runs,Cleveland scored 2 in the first; LAA @ CLE NRFI lost.
2026-05-13,2026-05-13-nrfi-03,NRFI,DET @ NYM,NRFI,,FIRST_INNING_RUNS,,59,"Citi Field keeps this playable and Framber Valdez gives the slate a strong anchor. Christian Scott vs a young Detroit top is acceptable, but Soto/Bichette on the Mets side caps confidence below premium.",ace_logic_v2,2,LOSS,NRFI lost: 2 first-inning runs,Detroit scored 2 in the first; DET @ NYM NRFI lost.
2026-05-13,2026-05-13-nrfi-04,NRFI,TB @ TOR,NRFI,,FIRST_INNING_RUNS,,55,"Dome and 7.5 total help, and Dylan Cease is the dominant half. Griffin Jax/role uncertainty creates the v2 asymmetry cap, so this stays a lean rather than a high-confidence play.",ace_logic_v2,0,WIN,NRFI hit: no first-inning runs,No first-inning runs; TB @ TOR NRFI hit.
2026-05-13,2026-05-13-nrfi-05,NRFI,KC @ CWS,NRFI,,FIRST_INNING_RUNS,,54,"Cool Chicago weather and crosswind help. Seth Lugo is stable and Noah Schultz has strikeout ability, but Bobby Witt/Maikel Garcia and Murakami/Vargas top-order risk cap this near the bottom of the card.",ace_logic_v2,0,WIN,NRFI hit: no first-inning runs,No first-inning runs; KC @ CWS NRFI hit.
2026-05-13,2026-05-13-prop-01,PROP,COL @ PIT,OVER,Mitch Keller,K,4.5,63,"Discounted 4.5 line against a Rockies lineup that can expand the zone. Keller does not need a ceiling outing to clear, and workload is more stable than the limited-sample arms.",ace_logic_v2,3,LOSS,Actual 3 under line 4.5,"Mitch Keller recorded 3 strikeouts vs COL, falling short of O 4.5 K."
2026-05-13,2026-05-13-prop-02,PROP,DET @ NYM,OVER,Christian Scott,K,4.5,62,Detroit showed strikeout paths yesterday and Scott gets a reasonable 4.5 line at pitcher-friendly Citi. Full-lineup K upside matters more than just the contact ability of the top three.,ace_logic_v2,5,WIN,Actual 5 over line 4.5,"Christian Scott recorded 5 strikeouts vs DET, clearing O 4.5 K."
2026-05-13,2026-05-13-prop-03,PROP,TB @ TOR,OVER,Dylan Cease,K,6.5,60,"Cease has the best whiff ceiling among the mid/high lines, and the dome removes weather risk. Kept below elite confidence because Tampa can stack lefty contact and the line is not cheap.",ace_logic_v2,9,WIN,Actual 9 over line 6.5,"Dylan Cease recorded 9 strikeouts vs TB, clearing O 6.5 K."
2026-05-13,2026-05-13-prop-04,PROP,NYY @ BAL,OVER,Max Fried,K,5.5,60,"Baltimore has enough right-handed swing-and-miss in the order to support 6+ Ks, and Fried has normal starter leash. Wind-out Camden hurts run prevention more than strikeout projection.",ace_logic_v2,2,LOSS,Actual 2 under line 5.5,"Max Fried recorded 2 strikeouts vs BAL, falling short of O 5.5 K."
2026-05-13,2026-05-13-prop-05,PROP,MIA @ MIN,OVER,Max Meyer,K,4.5,59,"Low 4.5 line with plus stuff and adequate workload projection. Minnesota has contact threats, so this is a modest edge rather than a top-tier play.",ace_logic_v2,9,WIN,Actual 9 over line 4.5,"Max Meyer recorded 9 strikeouts vs MIN, clearing O 4.5 K."
